first_name,last_name,identifier_value,email,starting_date,end_date,employment_id,role_id,clearance_id,identifier_type_id
Luxanna,Crownguard,PA2495162,lucrownguard029@neonark.com,2009-09-22,,1,1,3,2
Sarah,Fortune,PA2583301,safortune145@neonark.com,2002-10-01,,1,1,3,2
Briar,,PA0317908,br032@neonark.com,2015-03-02,,1,2,1,2
Jericho,Swain,BA2209129,,2018-09-30,2024-12-25,3,2,1,1
Qiyana,Yunalai,BA4990641,,2011-11-14,,1,3,2,1
Sett,,BA4851644,se043@neonark.com,2022-05-21,,2,3,2,1
Zilean,Icathun,VI7977014,ziicathun055@neonark.com,2010-07-04,,1,4,1,3
Neeko,Oovikat,VI2847544,neoovikat022@neonark.com,2003-10-29,,1,4,1,3
Kayn,,VI0900683,ka224@neonark.com,2024-04-15,2025-03-24,3,5,3,3
Cecil,Heimerdinger,BA0245327,,2008-09-17,2026-07-28,3,5,3,1
Annie,Hastur,PA5839201,anhastur117@neonark.com,2012-06-14,,1,2,1,2
Shauna,Vayne,PA1946203,shvayne204@neonark.com,2010-03-03,,1,2,2,2
Aphelios,,VI8374619,ap872@neonark.com,2021-01-19,,1,3,3,3
Jarvan,Lightshield,BA6629184,jalightshield332@neonark.com,2005-11-11,,1,1,2,1
Garen,Crownguard,BA9081726,gacrownguard410@neonark.com,2006-04-22,,1,1,1,1
Darius,,BA3472810,da551@neonark.com,2007-09-18,,2,2,2,1
Vladimir,,VI5619042,vl882@neonark.com,2003-12-01,,1,4,3,3
Soraka,Starchild,VI7748391,sastarchild220@neonark.com,2001-08-08,,1,4,1,3
Galio,Justice,BA1203947,gajustice109@neonark.com,2000-05-05,,1,5,2,1
Ahri,Shonxan,PA6583204,ahshonxan301@neonark.com,2013-07-07,,1,3,3,2
